MerchantID,Total_Transactions,Total_Quantity,Total_Spend,First_Transaction,Last_Transaction,Country,Avg_Order_Value,Cohort_Month,Tenure_Months,Days_Since_Last_Transaction,Is_Churned,Is_Active
12346.0,12,74285,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,United Kingdom,6.1000000000000005,2009-12,13.3,325,True,False
12347.0,8,3286,5633.320000000001,2010-10-31 14:20:00,2011-12-07 15:52:00,Iceland,2.546086956521739,2010-10,13.4,1,False,True
12348.0,5,2714,2019.4,2010-09-27 14:59:00,2011-09-25 13:13:00,Finland,3.7862745098039214,2010-09,12.1,74,False,True
12349.0,4,1624,4428.6900000000005,2010-04-29 13:20:00,2011-11-21 09:51:00,Italy,8.459657142857143,2010-04,19.0,18,False,True
12350.0,1,197,334.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,3.841176470588235,2011-02,0.0,309,True,False
12351.0,1,261,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,Unspecified,2.355238095238095,2010-11,0.0,374,True,False
12352.0,10,724,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,Norway,13.676796116504855,2010-11,11.9,35,False,True
12353.0,2,212,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,Bahrain,2.6283333333333334,2010-10,6.8,203,True,False
12354.0,1,530,1079.3999999999999,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,4.5037931034482765,2011-04,0.0,231,True,False
12355.0,2,543,947.6099999999999,2010-05-21 11:59:00,2011-05-09 13:49:00,Bahrain,3.069428571428572,2010-05,11.8,213,True,False
12356.0,6,3417,6373.68,2010-10-11 09:42:00,2011-11-17 08:40:00,Portugal,3.1486013986013988,2010-10,13.4,22,False,True
12357.0,3,6587,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,Switzerland,6.196993243243243,2010-11,11.8,32,False,True
12358.0,5,1079,3887.0700000000006,2009-12-08 07:59:00,2011-12-08 10:26:00,Austria,5.3680519480519475,2009-12,24.3,1,False,True
12359.0,10,2752,8935.940000000002,2009-12-05 13:32:00,2011-10-13 12:47:00,Cyprus,7.374109589041097,2009-12,22.5,57,False,True
